id,title,overview,tagline,genres,keywords,director,writers,cast
987032,The Way to the Heart,"Ava, an award-winning chef at a big-city restaurant, has lost her spark. Her boss sends her out to find herself to save her menu and her job. She returns home and finds little to inspire her, but when she reunites with her childhood friend Logan, Ava has to get her head out of the clouds and her foot out of her mouth to rediscover her passion for food.",,"['Drama', 'Comedy']","['cooking', 'chef', 'culinary arts', 'father daughter relationship']",Wendy Ord,['Alexa Gilker'],"['Meghan Heffern', 'Peter Graham', 'Jon Cor', 'Sydney Hendricks', 'Bob Blumer', 'Will Taylor', 'Sandra Clermont', 'Anna Jacyszyn', 'Ethan Ready', 'William Kuklis']"
484133,Nude,NUDE explores perceptions of nudity in art by chronicling the creative process of photographer David Bellemere as he's commissioned by NU Muses founder Steve Shaw to shoot a fine art calendar of nude photographs.,A body of work.,['Documentary'],"['photography', 'softcore', 'creative process', 'nude photography']",Tony Sacco,[],"['David Bellemere', 'Steve Shaw', 'Rachel Cook', 'Jessica Clements', 'Ebonee Davis', 'Jeannie Park', 'Janine Tugonon', 'Keilani Asmus', 'Thais Bellemere', 'Eva Biechy']"
730647,Break the Silence: The Movie,"K-pop sensation BTS embark on their 2019 'Love Yourself: Speak Yourself' Tour, as the seven members begin to candidly tell personal stories they have never voiced before.",Borahae.,"['Music', 'Documentary']","['pop star', 'pop music', 'concert film', 'boy band', 'k-pop']",Park Jun-soo,[],"['RM', 'Jin', 'SUGA', 'j-hope', 'Jimin', 'V', 'Jung Kook']"
1632181,Accidental Partners,Two women discover they were both scammed by the same man (who also got them pregnant). They form an alliance to take revenge.,,"['Comedy', 'Romance']",[],Ihtzi Hurtado,"['Ihtzi Hurtado', 'Paulina Barros', 'Mariana Palos', 'Miguel García Moreno', 'Carmen Castro', 'Carlos Tobías Gambia']","['Angelique Boyer', 'Bárbara de Regil', 'Diego Klein', 'Lucía Uribe', 'Isabella Camil', 'Gabriela Platas', 'Laura Flores', 'Elena Pérez', 'César Rodríguez', 'Rolando Breme']"
1007757,Swapped,"A small woodland creature and a majestic bird, two natural sworn enemies of the Valley, magically trade places and set off on an adventure of a lifetime to switch back. Their journey soon uncovers a greater threat—one that could endanger not only their species, but the entire valley they call home.",Transform your destiny.,"['Adventure', 'Animation', 'Family', 'Fantasy']","['wolf', 'buddy', 'forest fire', 'woodlands', 'forest lore', 'bird', '3d animation', 'body swap', 'animal adventure']",Nathan Greno,"['Christian Magalhaes', 'Nathan Greno', 'Robert Snow', 'John Whittington', 'Adam J. Karp']","['Michael B. Jordan', 'Juno Temple', 'Tracy Morgan', 'Cedric the Entertainer', 'Justina Machado', 'Nate Torrence', 'Camden Brooks', 'Táta Vega', 'Ambika Mod', 'Lolly Adefope']"
373001,El Cementerio de los Elefantes,,,['Drama'],[],Tonchy Antezana,['Tonchy Antezana'],"['Christian Castillo', 'Fernando Peredo', 'Augusto Hinojosa', 'Wilson Laura', 'Julio Lazo', 'Rosa Paye', 'Eduardo Rojas', 'Angel Terceros']"
753230,The Three Deaths of Marisela Escobedo,"After the death of her daughter at the hand of her boyfriend, Marisela Escobedo began to fight for justice not only against the murderer but also against the corrupt Mexican judicial system.",,"['Documentary', 'Crime']",['vindictive'],Carlos Pérez Osorio,[],"['Juan Manuel Fraire Escobedo', 'Alejandro Fraire', 'Blanca Escobedo', 'Patricia González', 'Ruth Fierro', 'Noel Rodríguez', 'Leticia Carreón', 'Arturo Nahle', 'Gabino Gómez', 'Lucha Castro']"
1628123,BTS THE COMEBACK LIVE | ARIRANG,BTS is back. The iconic group returns to the stage for a live reunion concert to perform legendary hits and unveil brand-new tracks.,,"['Music', 'Documentary']","['concert', 'comeback', 'live', 'boy band', 'live music', 'k-pop', 'seoul, south korea', 'event', 'music live']",Hamish Hamilton,['Hamish Hamilton'],"['RM', 'Jin', 'SUGA', 'j-hope', 'Jimin', 'V', 'Jung Kook']"
1022102,BTS: Permission to Dance on Stage - LA,"Purple colors the city of Los Angeles, as BTS brings their ""Permission to Dance"" concert to SoFi Stadium for the first time in two years. In a stadium radiating anticipation and cheer, splendid performances from ""On"" to ""Permission to Dance"" glorify the stage that now comes to life on screen. Be united once again by the power of music.",,"['Music', 'Documentary']","['concert', 'live performance', 'concert film', 'k-pop']",Park Jun-soo,['Tori Rose'],"['RM', 'Jin', 'SUGA', 'j-hope', 'Jimin', 'V', 'Jung Kook']"
278,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Fear can hold you prisoner. Hope can set you free.,"['Drama', 'Crime']","['prison', 'friendship', 'police brutality', 'corruption', 'based on novel or book', 'freedom', 'hope', 'prison cell', 'delinquent', 'redemption', 'parole board', 'prison escape', 'wrongful imprisonment', 'interracial friendship', 'framed for murder', '1940s', 'voiceover', 'sentimental']",Frank Darabont,['Frank Darabont'],"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown', 'Gil Bellows', 'James Whitmore', 'Mark Rolston', 'Jeffrey DeMunn', 'Larry Brandenburg']"
